# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,7.323892981119295,5.789518245703158,-0.05034721230718514,0,3.0,-0.14708440473600445,90.0,0.0,-0.039811047137041616
 0.08924685693494677,7.335840478715772,5.7895077471401235,-0.05034721230718514,0.26774057080484037,3.0000000000000004,-0.14708440473600445,89.99644698917173,-2.7321586548891954,-0.29049646935146095
 0.12593739381831132,7.347683276343747,5.7894766204196095,-0.15059158020560082,0.37781218145493406,3.0000000000000013,-0.1470194487997944,89.9857885177485,-3.5515771169137684,-0.6351556987123395
 0.15390258244527716,7.359421831261027,5.789425418994497,-0.24991210420330986,0.46170774733583153,2.9999999999999982,-0.14689178554769677,89.96802626882652,-4.200134306364392,-1.061704902924108
 0.1773207860226142,7.371056600725425,5.78935469631767,-0.34827170444190847,0.5319623580678426,3.0,-0.14669818126920967,89.94316304727079,-4.750783901222345,-1.5595262853583483
 0.1978143604487912,7.382588041994749,5.789265005842012,-0.4456322479042921,0.5934430813463737,3.0000000000000027,-0.14643525184357603,89.91120277927222,-5.234077471079188,-2.1220699946464094
 0.21621727253138623,7.394016612326813,5.789156901020405,-0.5419545154380537,0.6486518175941588,3.0,-0.14609945546489603,89.87215051172763,-5.666299449444768,-2.7448789153529507
 0.2330260650893382,7.405342768979425,5.789030935305732,-0.6371981674550083,0.6990781952680147,3.0,-0.1456870848468855,89.82601241144276,-6.057273011647269,-3.4247304999059103
 0.24856499502432342,7.416566969210396,5.788887662150877,-0.7313217083800722,0.7456949850729703,2.9999999999999947,-0.14519425877546815,89.77279576415852,-6.413383521391963,-4.159199942337901
 0.2630597996968427,7.427689670277537,5.788727635008721,-0.8242824498126025,0.789179399090528,2.9999999999999982,-0.14461691383825653,89.71250897340038,-6.738984750194956,-4.94641200695477
 0.27667520701717496,7.438711329438658,5.7885514073321485,-0.9160364721120144,0.830025621051525,3.000000000000008,-0.14395079460765053,89.6451615591515,-7.03713586666481,-5.784888513934623
 0.28953585292642575,7.449632403951569,5.788359532574042,-1.0065385847084793,0.8686075587792773,2.9999999999999956,-0.14319144492070554,89.5707641563493,-7.3100219201242815,-6.673448932238186
 0.3017387848691227,7.460453351074083,5.788152564187284,-1.0957422846993787,0.9052163546073682,3.0,-0.14233419685076815,89.48932851320613,-7.559209580083677,-7.611142559099224
 0.31336135311892116,7.4711746280640075,5.787931055624757,-1.1835997139584316,0.9400840593567634,2.9999999999999902,-0.14137415986275376,89.40086748935406,-7.785810561887363,-8.597200530678219
 0.3244664140278904,7.481796692179154,5.787695560339345,-1.2700616144738868,0.9733992420836711,3.0,-0.14030621037304494,89.30539505381425,-7.990590278111726,-9.63100083959219
